graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,sparsify_time,metric_time
undirected3.edgelist,undirected,mst,0.2,6,5,5,1.0,True,True,46.808,46.808,0.0,1.0,0.0,1.0,1861.2736714839996,1861.2736714839996,0.3333333333333333,0.6666666666666666,,,,,,0.3333333333333333,0.6666666666666666,,,,,4.5556999793916475e-05,0.00019121300010738196
undirected3.edgelist,undirected,t_spanner,0.2,6,5,5,1.0,True,True,46.808,46.808,0.0,1.0,0.0,1.0,1861.2736714839996,1861.2736714839996,0.3333333333333333,0.6666666666666666,,,,,,0.3333333333333333,0.6666666666666666,,,,,7.852899943827651e-05,0.00018848800027626567
undirected4.edgelist,undirected,original,0.2,9,8,,1.0,True,True,51.92,51.92,0.0,1.0,0.0,1.0,3797.0208560980004,3797.0208560980004,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.0005089779997433652
undirected4.edgelist,undirected,kols,0.2,9,8,8,1.0,True,True,51.92,51.92,0.0,1.0,0.0,1.0,3797.0208560980004,3797.0208560980004,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.00019335799970576772,0.0003889599993271986
undirected4.edgelist,undirected,random,0.2,9,8,1,0.125,True,False,51.92,inf,0.9722222222222222,1.0,0.0,1.0,3797.0208560980004,12.961507978999988,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.7777777777777778,0.2222222222222222,,,,,,3.0166999749781098e-05,0.00024533699979656376
undirected4.edgelist,undirected,k_neighbor,0.2,9,8,7,0.875,True,False,51.92,inf,0.5555555555555556,1.0,0.0,1.0,3797.0208560980004,3784.0593481190003,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.4444444444444444,0.5555555555555556,,,,,0.0004098899999007699,0.0002923160000136704
undirected4.edgelist,undirected,local_degree,0.2,9,8,8,1.0,True,True,51.92,51.92,0.0,1.0,0.0,1.0,3797.0208560980004,3797.0208560980004,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.0001012719994832878,0.00035145899983035633
undirected4.edgelist,undirected,mst,0.2,9,8,8,1.0,True,True,51.92,51.92,0.0,1.0,0.0,1.0,3797.0208560980004,3797.0208560980004,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.00010338700030843029,0.0003667579994726111
undirected4.edgelist,undirected,t_spanner,0.2,9,8,8,1.0,True,True,51.92,51.92,0.0,1.0,0.0,1.0,3797.0208560980004,3797.0208560980004,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.00012564900043798843,0.00032565899982728297
undirected5.edgelist,undirected,original,0.2,10,10,,1.0,True,True,69.53800000000001,69.53800000000001,0.0,1.0,0.0,1.0,16212.961855764002,16212.961855764002,0.2,0.6,0.2,,,,,0.2,0.6,0.2,,,,,0.0005415499999799067
undirected5.edgelist,undirected,kols,0.2,10,10,9,0.9,True,True,69.53800000000001,69.53800000000001,0.0,1.0,0.0,1.0,16212.961855764002,16124.253013287003,0.2,0.6,0.2,,,,,0.4,0.4,0.2,,,,0.0002147290006178082,0.00041855700055748457
undirected5.edgelist,undirected,random,0.2,10,10,2,0.2,True,False,69.53800000000001,inf,0.9555555555555556,1.0,0.0,1.0,16212.961855764002,3327.953131536001,0.2,0.6,0.2,,,,0.6,0.4,,,,,,0.00010164299965254031,0.0002954319998025312
undirected5.edgelist,undirected,k_neighbor,0.2,10,10,7,0.7,True,False,69.53800000000001,inf,0.7333333333333333,1.2333671611065675,0.37536423057673196,3.1865733799766778,16212.961855764002,14607.835582437005,0.2,0.6,0.2,,,,,0.6,0.4,,,,,0.0004969259998688358,0.0003433339998082374
undirected5.edgelist,undirected,local_degree,0.2,10,10,8,0.8,True,False,69.53800000000001,inf,0.4666666666666667,1.0,0.0,1.0,16212.961855764002,15679.458606951002,0.2,0.6,0.2,,,,,0.6,0.2,0.2,,,,8.9490000391379e-05,0.0003946699998778058
undirected5.edgelist,undirected,mst,0.2,10,10,9,0.9,True,True,69.53800000000001,69.53800000000001,0.0,1.0,0.0,1.0,16212.961855764002,16124.253013287002,0.2,0.6,0.2,,,,,0.4,0.4,0.2,,,,6.944200049474603e-05,0.00040541100042901235
undirected5.edgelist,undirected,t_spanner,0.2,10,10,9,0.9,True,True,69.53800000000001,69.53800000000001,0.0,1.0,0.0,1.0,16212.961855764002,16124.253013287002,0.2,0.6,0.2,,,,,0.4,0.4,0.2,,,,0.00012566900022648042,0.0003875069996865932
undirected6.edgelist,undirected,original,0.2,16,21,,1.0,True,True,52.945,52.945,0.0,1.0,0.0,1.0,51007.95139231799,51007.95139231799,0.25,0.25,0.1875,0.25,0.0625,,,0.25,0.25,0.1875,0.25,0.0625,,,0.001035761000821367
undirected6.edgelist,undirected,kols,0.2,16,21,15,0.7142857142857143,True,True,52.945,64.262,0.0,1.1322105330324475,0.05203896001056464,2.0335510155173453,51007.95139231799,39303.66334292499,0.25,0.25,0.1875,0.25,0.0625,,,0.375,0.4375,0.125,0.0625,,,0.00033660000008239876,0.000928215000385535
undirected6.edgelist,undirected,random,0.2,16,21,4,0.19047619047619047,True,False,52.945,inf,0.9583333333333334,1.525394270424754,0.4762816335885218,2.70789322066449,51007.95139231799,21807.193775459997,0.25,0.25,0.1875,0.25,0.0625,,0.5625,0.375,0.0625,,,,,4.302199977246346e-05,0.0006382440005836543
undirected6.edgelist,undirected,k_neighbor,0.2,16,21,13,0.6190476190476191,True,False,52.945,inf,0.43333333333333335,4.525647443234421,57.68386636180957,46.5,51007.95139231799,48054.40182968099,0.25,0.25,0.1875,0.25,0.0625,,,0.625,0.25,,0.125,,,0.0006802640000387328,0.0007731400000920985
undirected6.edgelist,undirected,local_degree,0.2,16,21,15,0.7142857142857143,True,True,52.945,64.189,0.0,2.3679585973351824,14.739775852106586,28.386605783866056,51007.95139231799,49629.89945379299,0.25,0.25,0.1875,0.25,0.0625,,,0.625,0.125,0.0625,0.125,0.0625,,0.00017329999991488876,0.0009420919996045996
undirected6.edgelist,undirected,mst,0.2,16,21,15,0.7142857142857143,True,True,52.945,64.262,0.0,1.1322105330324475,0.05203896001056464,2.0335510155173453,51007.95139231799,39303.66334292499,0.25,0.25,0.1875,0.25,0.0625,,,0.375,0.4375,0.125,0.0625,,,0.0001045379995048279,0.0010042610001619323
undirected6.edgelist,undirected,t_spanner,0.2,16,21,16,0.7619047619047619,True,True,52.945,54.185,0.0,1.034514187532456,0.010648081143190187,1.5412176106397617,51007.95139231799,41613.95186339999,0.25,0.25,0.1875,0.25,0.0625,,,0.375,0.375,0.125,0.125,,,0.0002654250001796754,0.0008895219998521497
undirected7.edgelist,undirected,original,0.2,14,14,,1.0,True,True,107.49600000000001,107.49600000000001,0.0,1.0,0.0,1.0,15182.227232453999,15182.227232453999,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.0007031079994703759
undirected7.edgelist,undirected,kols,0.2,14,14,13,0.9285714285714286,True,True,107.49600000000001,107.49600000000001,0.0,1.0,0.0,1.0,15182.227232453999,13412.869196204,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.21428571428571427,0.7142857142857143,0.07142857142857142,,,,0.00021756400019512512,0.0006502269998236443
undirected7.edgelist,undirected,random,0.2,14,14,4,0.2857142857142857,True,False,107.49600000000001,inf,0.945054945054945,1.0,0.0,1.0,15182.227232453999,6466.731355017,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,0.5,0.42857142857142855,0.07142857142857142,,,,,3.767099951801356e-05,0.00045765100003336556
