graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,sparsify_time,metric_time,family,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_original_in_5,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_sparsified_out_6,degree_distribution_sparsified_in_6
planar,t_spanner,0.2,11.3,24.1,23.4,1.0017365253389077,inf,inf,1.0,inf,inf,inf,121927.976999356,23869.2916891032,,,,,,,,,,,,,,,,,,0.0003724301000147,0.0008066316000622,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,,0.3635285629403276,0.4143394731630025,0.2390383762932782,0.1555555555555555,0.0577342047930283,,0.3635285629403276,0.4143394731630025,0.2390383762932782,0.1555555555555555,0.0577342047930283,0.0954396910279263,0.129985327464319,0.0732323232323232,,
undirected,k_neighbor,0.2,12.9,14.5,10.0,0.7217063623007361,67.961,inf,0.5837606837606837,2.313637562805624,109.6437762077122,31.43907834952975,46687.0309520958,40396.5354172643,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.5569444444444445,0.4084702496983198,0.1573308270676691,0.125,,,,,0.0005833349998283,0.0005403941001531,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
undirected,kols,0.2,12.9,14.5,11.9,0.857786551017041,67.961,71.4383,0.0,1.0411338602920968,0.0187396403711894,1.442122443695132,46687.0309520958,37220.6533575407,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.4056829573934837,0.4579307063956187,0.1785180543952473,0.0625,0.0763157894736842,,,,0.000249161999909,0.0006873766999887,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
undirected,local_degree,0.2,12.9,14.5,11.3,0.8184290663963985,67.961,inf,0.2025885225885225,1.3410853405126828,12.625146895797124,19.13515739546178,46687.0309520958,38651.1890099107,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.5055701754385964,0.362515084006312,0.1435034345122064,0.125,0.0717105263157894,0.05,,,0.0001171346998489,0.0006304773000919,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
undirected,mst,0.2,12.9,14.5,11.9,0.857786551017041,67.961,71.4383,0.0,1.0411338602920968,0.0187396403711894,1.442122443695132,46687.0309520958,37220.6533575407,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.4056829573934837,0.4579307063956187,0.1785180543952473,0.0625,0.0763157894736842,,,,9.081059997695968e-05,0.0006884233999698,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
undirected,original,0.2,12.9,14.5,,1.0,67.961,67.961,0.0,1.0,0.0,1.0,46687.0309520958,46687.0309520958,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.0007850286000575,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
undirected,random,0.2,12.9,14.5,3.0,0.1977771427000101,67.961,inf,0.9542277167277168,3.882005391757835,566.6735430706118,27.046095132464,46687.0309520958,13337.3169098868,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,0.6036769005847953,0.3624039264828738,0.0678383458646616,,,,,,,5.0908699722636415e-05,0.0004690833000494,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
undirected,t_spanner,0.2,12.9,14.5,12.2,0.8694450075030838,67.961,70.2467,0.0,1.0205887693750866,0.0067481798553307,1.2602816459816155,46687.0309520958,38695.9739488846,0.2955444165970481,0.4494527986633249,0.2347261382623224,0.1381578947368421,0.0912828947368421,0.05,,,,0.3906829573934837,0.4620973730622853,0.1840736099508029,0.125,0.0763157894736842,,,,0.0001837898000302,0.0006830071998592,undirected,,,,,,,,,,,,,,,,,,,,,,,,,,,
unweighted,k_neighbor,0.2,11.1,16.1,9.3,0.6247471201325157,inf,inf,0.4393283170218154,inf,inf,inf,69.3,47.7,,,,,,,,,,0.4960442773600668,0.4312354961477768,0.1510756056808688,0.0634920634920634,0.125,,,,0.0006296659998042,0.0005044035001446,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,,,,,,,,,,,,,0.0666666666666666,0.0666666666666666,,,
unweighted,kols,0.2,11.1,16.1,10.1,0.6679181732173618,inf,inf,1.0,inf,inf,inf,69.3,48.1,,,,,,,,,,,,,,,,,,0.0002450855999995,0.0005274036000627,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,0.3121240601503759,0.5258563074352548,0.151097651536248,0.0645502645502645,,0.0666666666666666,0.3228989139515455,0.5017773600668337,0.1796888053467,0.0876984126984126,0.0526315789473684,,0.0666666666666666,0.0666666666666666,,,
unweighted,local_degree,0.2,11.1,16.1,9.5,0.6518265034492214,inf,inf,1.0,inf,inf,inf,69.3,37.8,,,,,,,,,,,,,,,,,,8.591860023442297e-05,0.0004861458001868,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,0.4515350877192982,0.3316583124477861,0.1662828947368421,0.1184697855750487,0.0634920634920634,,0.1974997016350399,0.8617502088554719,,,,,0.0666666666666666,0.0666666666666666,,,
unweighted,mst,0.2,11.1,16.1,10.1,0.6679181732173618,inf,5.5,0.0,inf,inf,inf,69.3,48.1,,,,,,,,,,0.5400271512113617,0.2972117794486215,0.172834864940128,0.1055555555555555,0.0958333333333333,0.0526315789473684,,,0.0001278971998544,0.0005675897003129,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,,,,,,,,,,,,,0.0666666666666666,0.0666666666666666,,,
unweighted,original,0.2,11.1,16.1,,1.0,inf,inf,1.0,inf,inf,inf,69.3,69.3,,,,,,,,,,,,,,,,,,,0.0006914754998433,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.0666666666666666,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,0.0666666666666666,0.0666666666666666,0.0666666666666666,,,
unweighted,random,0.2,11.1,16.1,3.5,0.2078141404459862,inf,inf,1.0,inf,inf,inf,69.3,13.5,,,,,,,,,,,,,,,,,,3.856460016322671e-05,0.0005065416001343,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,0.7337531328320802,0.2440246449456976,0.074074074074074,,,,0.7379051796157059,0.2357205513784461,0.0879142300194931,,,,0.0666666666666666,0.0666666666666666,,,
unweighted,t_spanner,0.2,11.1,16.1,27.0,1.62921452561412,inf,inf,1.0,inf,inf,inf,69.3,61.3,,,,,,,,,,,,,,,,,,0.000338529000055,0.0007430766000652,unweighted,0.1910218253968253,0.4828299916457811,0.2732711408150005,0.1264530373552929,0.0774157616262879,0.1974997016350399,0.4909189640768588,0.2900700826139422,0.1538046505151768,0.0540935672514619,,0.3595632600018564,0.3287431541817506,0.2897289520096537,0.1297549429128376,0.1036549707602338,,0.3595632600018564,0.3287431541817506,0.2897289520096537,0.1297549429128376,0.1036549707602338,0.0666666666666666,0.0666666666666666,,0.0540935672514619,0.0540935672514619
